iso_code,location,population,date,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,target_date
AFG,Afghanistan,38928341,,,,,,,,,,,
ALB,Albania,2877800,2021-02-19T00:00:00.000Z,Pfizer/BioNTech,4177,,,405,0.15,,,141,"Mar 2210"
DZA,Algeria,43851043,2021-02-19T00:00:00.000Z,"Sputnik V",75000,,,3748,0.17,,,85,
ASM,"American Samoa",55197,,,,,,,,,,,
AND,Andorra,77265,2021-02-19T00:00:00.000Z,Pfizer/BioNTech,2141,2141,,74,2.77,2.77,,958,
AGO,Angola,32866268,,,,,,,,,,,
AIA,Anguilla,15002,2021-02-14T00:00:00.000Z,Oxford/AstraZeneca,2762,2762,,331,18.41,18.41,,22064,
ATG,"Antigua and Barbuda",97928,,,,,,,,,,,
ARG,Argentina,45195777,2021-02-21T00:00:00.000Z,"Sputnik V",720267,456929,263338,15809,1.59,1.01,0.58,350,"Feb 2041"
ARM,Armenia,2963234,,,,,,,,,,,
ABW,Aruba,106766,,,,,,,,,,,
AUS,Australia,25499881,,,,,,,,,,,
AUT,Austria,9006400,2021-02-21T00:00:00.000Z,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",,298199,195539,17777,,3.31,2.17,1974,"Jan 2023"
AZE,Azerbaijan,10139175,2021-02-06T00:00:00.000Z,"Oxford/AstraZeneca, Sputnik V",65000,65000,,3250,0.64,0.64,,321,
BHS,Bahamas,393248,,,,,,,,,,,
BHR,Bahrain,1701583,2021-02-21T00:00:00.000Z,"Pfizer/BioNTech, Sinopharm/Beijing",274960,274960,,3741,16.16,16.16,,2199,
BGD,Bangladesh,164689383,2021-02-20T00:00:00.000Z,Oxford/AstraZeneca,2082877,2082877,,192314,1.26,1.26,,1168,
BRB,Barbados,287371,2021-02-19T00:00:00.000Z,Oxford/AstraZeneca,14411,14411,,2480,5.01,5.01,,8630,
BLR,Belarus,9449321,2021-02-18T00:00:00.000Z,"Sputnik V",20944,20944,,403,0.22,0.22,,43,
BEL,Belgium,11589616,2021-02-20T00:00:00.000Z,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",667044,403980,263064,11377,5.76,3.49,2.27,982,"Aug 2024"
BLZ,Belize,397621,,,,,,,,,,,
BEN,Benin,12123198,,,,,,,,,,,
BMU,Bermuda,62273,2021-02-15T00:00:00.000Z,Pfizer/BioNTech,13155,,,494,21.12,,,7933,
BTN,Bhutan,771612,,,,,,,,,,,
BOL,Bolivia,11673029,2021-02-11T00:00:00.000Z,"Sputnik V",10167,,,826,0.09,,,71,
BES,"Bonaire Sint Eustatius and Saba",26221,,,,,,,,,,,
BIH,"Bosnia and Herzegovina",3280815,,,,,,,,,,,
BWA,Botswana,2351625,,,,,,,,,,,
BRA,Brazil,212559409,2021-02-21T00:00:00.000Z,"Oxford/AstraZeneca, Sinovac",6950802,5817908,1132894,244837,3.27,2.74,0.53,1152,"Oct 2023"
VGB,"British Virgin Islands",30237,,,,,,,,,,,
BRN,Brunei,437483,,,,,,,,,,,
BGR,Bulgaria,6948445,2021-02-21T00:00:00.000Z,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",119354,92381,26973,6281,1.72,1.33,0.39,904,"Mar 2035"
BFA,"Burkina Faso",20903278,,,,,,,,,,,
BDI,Burundi,11890781,,,,,,,,,,,
KHM,Cambodia,16718971,2021-02-19T00:00:00.000Z,Sinopharm/Beijing,4609,4609,,374,0.03,0.03,,22,
CMR,Cameroon,26545864,,,,,,,,,,,
CAN,Canada,37742157,2021-02-19T00:00:00.000Z,"Moderna, Pfizer/BioNTech",1402139,,,25800,3.72,,,684,
CPV,"Cape Verde",555988,,,,,,,,,,,
CYM,"Cayman Islands",65720,2021-02-20T00:00:00.000Z,Pfizer/BioNTech,18159,10521,7638,340,27.63,16.01,11.62,5173,"Aug 2021"
CAF,"Central African Republic",4829764,,,,,,,,,,,
TCD,Chad,16425859,,,,,,,,,,,
OWID_CIS,"Channel Islands",173859,,,,,,,,,,,
CHL,Chile,19116209,2021-02-21T00:00:00.000Z,"Pfizer/BioNTech, Sinovac",2891107,2835865,55242,139092,15.12,14.83,0.29,7276,"Jan 17647"
CHN,China,1439323774,2021-02-09T00:00:00.000Z,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",40520000,,,1674286,2.82,,,1163,
COL,Colombia,50882884,2021-02-21T00:00:00.000Z,Pfizer/BioNTech,39827,39827,,7965,0.08,0.08,,157,
COM,Comoros,869595,,,,,,,,,,,
COG,Congo,5518092,,,,,,,,,,,
COK,"Cook Islands",17564,,,,,,,,,,,
CRI,"Costa Rica",5094114,2021-02-15T00:00:00.000Z,Pfizer/BioNTech,96948,54395,42553,3119,1.9,1.07,0.84,612,
CIV,"Cote d'Ivoire",26378275,,,,,,,,,,,
HRV,Croatia,4105268,2021-02-18T00:00:00.000Z,Pfizer/BioNTech,142222,87169,55053,4207,3.46,2.12,1.34,1025,"Jun 2041"
CUB,Cuba,11326616,,,,,,,,,,,
CUW,Curacao,164100,,,,,,,,,,,
CYP,Cyprus,875899,2021-02-20T00:00:00.000Z,Pfizer/BioNTech,56791,37570,19221,1766,6.48,4.29,2.19,2016,"May 2023"
CZE,Czechia,10708982,2021-02-21T00:00:00.000Z,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",545381,337829,207552,12686,5.09,3.15,1.94,1185,"Nov 2024"
COD,"Democratic Republic of Congo",89561404,,,,,,,,,,,
DNK,Denmark,5792203,2021-02-20T00:00:00.000Z,"Moderna, Pfizer/BioNTech",485201,310006,175195,12373,8.38,5.35,3.02,2136,"Oct 2038"
DJI,Djibouti,988002,,,,,,,,,,,
DMA,Dominica,71991,,,,,,,,,,,
