country,code,population,lastDate,peopleFullyVaccinated,vaccinatedPerHundred,averagePeoplePerDay,targetDate
Afghanistan,AFG,38928341,,,,,
Albania,ALB,2877800,19.02.2021,611,0.02,25,"March 2210"
Algeria,DZA,43851043,19.02.2021,,,,
"American Samoa",ASM,55197,,,,,
Andorra,AND,77265,19.02.2021,,,,
Angola,AGO,32866268,,,,,
Anguilla,AIA,15002,14.02.2021,,,,
"Antigua and Barbuda",ATG,97928,,,,,
Argentina,ARG,45195777,21.02.2021,263338,0.58,3676,"February 2041"
Armenia,ARM,2963234,,,,,
Aruba,ABW,106766,,,,,
Australia,AUS,25499881,,,,,
Austria,AUT,9006400,21.02.2021,195539,2.17,7379,"January 2023"
Azerbaijan,AZE,10139175,06.02.2021,,,,
Bahamas,BHS,393248,,,,,
Bahrain,BHR,1701583,21.02.2021,,,,
Bangladesh,BGD,164689383,20.02.2021,,,,
Barbados,BRB,287371,19.02.2021,,,,
Belarus,BLR,9449321,18.02.2021,,,,
Belgium,BEL,11589616,20.02.2021,263064,2.27,5255,"August 2024"
Belize,BLZ,397621,,,,,
Benin,BEN,12123198,,,,,
Bermuda,BMU,62273,15.02.2021,,,,
Bhutan,BTN,771612,,,,,
Bolivia,BOL,11673029,11.02.2021,,,,
"Bonaire Sint Eustatius and Saba",BES,26221,,,,,
"Bosnia and Herzegovina",BIH,3280815,,,,,
Botswana,BWA,2351625,,,,,
Brazil,BRA,212559409,21.02.2021,1132894,0.53,130718,"October 2023"
"British Virgin Islands",VGB,30237,,,,,
Brunei,BRN,437483,,,,,
Bulgaria,BGR,6948445,21.02.2021,26973,0.39,808,"March 2035"
"Burkina Faso",BFA,20903278,,,,,
Burundi,BDI,11890781,,,,,
Cambodia,KHM,16718971,19.02.2021,,,,
Cameroon,CMR,26545864,,,,,
Canada,CAN,37742157,19.02.2021,,,,
"Cape Verde",CPV,555988,,,,,
"Cayman Islands",CYM,65720,20.02.2021,7638,11.62,181,"August 2021"
"Central African Republic",CAF,4829764,,,,,
Chad,TCD,16425859,,,,,
"Channel Islands",OWID_CIS,173859,,,,,
Chile,CHL,19116209,21.02.2021,55242,0.29,2,"January 17647"
China,CHN,1439323774,09.02.2021,,,,
Colombia,COL,50882884,21.02.2021,,,,
Comoros,COM,869595,,,,,
Congo,COG,5518092,,,,,
"Cook Islands",COK,17564,,,,,
"Costa Rica",CRI,5094114,15.02.2021,,,,
"Cote d'Ivoire",CIV,26378275,,,,,
Croatia,HRV,4105268,18.02.2021,55053,1.34,325,"June 2041"
Cuba,CUB,11326616,,,,,
Curacao,CUW,164100,,,,,
Cyprus,CYP,875899,20.02.2021,19221,2.19,627,"May 2023"
Czechia,CZE,10708982,21.02.2021,207552,1.94,4564,"November 2024"
"Democratic Republic of Congo",COD,89561404,,,,,
Denmark,DNK,5792203,20.02.2021,175195,3.02,511,"October 2038"
Djibouti,DJI,988002,,,,,
Dominica,DMA,71991,,,,,
"Dominican Republic",DOM,10847904,17.02.2021,,,,
Ecuador,ECU,17643060,17.02.2021,1962,0.01,281,"April 2124"
Egypt,EGY,102334403,30.01.2021,,,,
"El Salvador",SLV,6486201,,,,,
"Equatorial Guinea",GNQ,1402985,,,,,
Eritrea,ERI,3546427,,,,,
Estonia,EST,1326539,21.02.2021,26053,1.96,530,"February 2025"
Ethiopia,ETH,114963583,,,,,
"Faeroe Islands",FRO,48865,21.02.2021,1515,3.1,42,"December 2022"
"Falkland Islands",FLK,3483,15.02.2021,,,,
